model,member,experiment
UKESM1-0-LL,r11i1p1f2,ssp370
UKESM1-0-LL,r12i1p1f2,ssp370
UKESM1-0-LL,r13i1p1f2,ssp370
UKESM1-0-LL,r14i1p1f2,ssp370
UKESM1-0-LL,r15i1p1f2,ssp370
UKESM1-0-LL,r16i1p1f2,ssp370
UKESM1-0-LL,r17i1p1f2,ssp370
UKESM1-0-LL,r18i1p1f2,ssp370
UKESM1-0-LL,r19i1p1f2,ssp370
UKESM1-0-LL,r1i1p1f2,historical
UKESM1-0-LL,r2i1p1f2,historical
UKESM1-0-LL,r3i1p1f2,historical
UKESM1-0-LL,r4i1p1f2,historical
UKESM1-0-LL,r8i1p1f2,historical
UKESM1-0-LL,r9i1p1f2,historical
UKESM1-0-LL,r10i1p1f2,historical
UKESM1-0-LL,r11i1p1f2,historical
UKESM1-0-LL,r12i1p1f2,historical
UKESM1-0-LL,r16i1p1f2,historical
UKESM1-0-LL,r17i1p1f2,historical
UKESM1-0-LL,r18i1p1f2,historical
UKESM1-0-LL,r19i1p1f2,historical
UKESM1-0-LL,r5i1p1f3,historical
UKESM1-0-LL,r6i1p1f3,historical
UKESM1-0-LL,r7i1p1f3,historical
